총 삭제대상: 226개
row_index,domeggook_no,naver_channel_no,reason
4,3234710,12862436837,패션잡화->생활/건강
6,60906953,12864608789,패션의류->패션잡화
7,58163391,12864617749,네이버상품없음
8,9259681,12864924146,패션잡화->생활/건강
9,51350633,12864985715,가구/인테리어->패션잡화
10,42545667,12869250726,패션의류->출산/육아
11,49772673,12869930501,패션의류->생활/건강
12,43408008,12875726312,패션의류->생활/건강
15,43850688,12875816315,패션의류->패션잡화
18,61517639,12875817257,패션의류->출산/육아
22,51115303,12875819061,패션의류->출산/육아
26,56392496,12875820210,패션의류->디지털/가전
30,61551601,12875821528,패션의류->출산/육아
45,49291151,12875826670,패션의류->패션잡화
49,58681675,12875828100,패션의류->가구/인테리어
54,35089202,12875830450,패션의류->가구/인테리어
55,8701635,12875830844,패션의류->가구/인테리어
72,9790242,12875849319,패션의류->패션잡화
75,5490234,12875854665,패션의류->패션잡화
76,55834942,12875854993,패션의류->패션잡화
77,11279896,12875855433,패션의류->생활/건강
78,44557527,12875855704,패션의류->출산/육아
79,25030245,12875855921,패션의류->디지털/가전
80,62169719,12875856186,패션의류->생활/건강
81,46860791,12875856394,패션의류->디지털/가전
82,55832543,12875856695,패션의류->생활/건강
83,59955084,12875856943,패션의류->패션잡화
84,40503034,12875857192,패션의류->패션잡화
85,46978160,12875857485,패션의류->출산/육아
86,9964577,12875857794,패션의류->패션잡화
87,55446598,12875858053,패션의류->스포츠/레저
88,57948619,12875858465,패션의류->패션잡화
89,42694575,12875858740,패션의류->생활/건강
90,51790398,12875859165,패션의류->출산/육아
91,9161194,12875859541,패션의류->생활/건강
92,58322649,12875859896,패션의류->디지털/가전
93,11383928,12875860218,패션의류->생활/건강
94,40872800,12875860537,패션의류->패션잡화
95,18949873,12875860867,패션의류->스포츠/레저
96,8516034,12875861273,패션의류->디지털/가전
97,57471854,12875861529,패션의류->생활/건강
98,62379139,12875861819,패션의류->패션잡화
99,56392536,12875862494,패션의류->생활/건강
100,44749936,12875862824,패션의류->패션잡화
101,39096400,12875867648,패션의류->생활/건강
102,42163806,12875867903,패션의류->생활/건강
103,58745024,12875868220,패션의류->생활/건강
104,48562655,12875868505,패션의류->생활/건강
105,61138166,12875868884,패션의류->생활/건강
106,59969271,12875869139,패션의류->생활/건강
107,19191496,12875869554,패션의류->생활/건강
108,61715784,12875869872,패션의류->디지털/가전
109,58088773,12875870121,패션의류->패션잡화
110,47978502,12875870695,패션의류->패션잡화
111,14996546,12875870963,패션의류->패션잡화
112,30752505,12875871354,패션의류->패션잡화
113,40348295,12875871906,패션의류->디지털/가전
114,9277585,12875872259,패션의류->디지털/가전
115,31411257,12875872619,패션의류->디지털/가전
116,11870998,12875872900,패션의류->가구/인테리어
117,22787307,12875873153,패션의류->생활/건강
118,10618550,12875873430,패션의류->생활/건강
119,61572614,12875873911,패션의류->패션잡화
120,61404665,12875874278,패션의류->패션잡화
121,11467393,12875874527,패션의류->패션잡화
122,51355239,12875874866,패션의류->패션잡화
123,42171355,12875875287,패션의류->패션잡화
124,61555586,12875875528,패션의류->패션잡화
125,41575503,12875876359,패션의류->가구/인테리어
126,14384479,12875876703,패션의류->가구/인테리어
127,53790409,12875881499,패션의류->생활/건강
128,50135278,12875881982,패션의류->생활/건강
129,50218202,12875882200,패션의류->생활/건강
130,32767505,12875882560,패션의류->생활/건강
131,53757857,12875883354,패션의류->생활/건강
132,42095698,12875883613,패션의류->생활/건강
133,50665139,12875883885,패션의류->디지털/가전
134,60386905,12875884167,패션의류->생활/건강
135,33957358,12875884478,패션의류->생활/건강
136,27527965,12875884798,패션의류->생활/건강
137,8479353,12875885120,패션의류->생활/건강
138,57875619,12875885309,패션의류->생활/건강
139,42062974,12875885535,패션의류->생활/건강
140,33433878,12875885856,패션의류->생활/건강
141,51620911,12875886129,패션의류->출산/육아
